id,categoria,titulo,pessoa_local,fonte,pagina_origem,url_direta,url_thumbnail,autor,licenca,url_licenca,atribuicao,status_licenca,instagram_ok,largura,altura,arquivo_local,ultima_utilizacao,qtd_utilizacoes,observacoes
IMG0001,selecao_brasileira,Atletas da Seleção Brasileira de Futebol Feminino,Seleção Brasileira,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Atletas_da_Sele%C3%A7%C3%A3o_Brasileira_de_Futebol_Feminino_posam_para_foto%2C_Acervo_do_Museu_do_Futebol.jpg,,,Artista/fotógrafo indicado na página / Museu do Futebol,CC BY-SA 4.0,,Crédito ao autor indicado na página e Museu do Futebol; informar licença e alterações,APROVADA,SIM,,,,,,Licença individual verificada
IMG0002,selecao_brasileira,Brazil women's national football team - Rio 2007,Seleção Brasileira,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brazil_women%27s_national_football_team_-_Rio_2007.jpg,,,Conforme página do arquivo,CC BY 3.0 BR / CC BY 2.5,,Crédito conforme página do arquivo,APROVADA,SIM,,,,,,Licença individual verificada; conferir atribuição completa ao baixar
IMG0003,selecao_brasileira,Brazil women's national football team 2012,Seleção Brasileira,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brazil_women%27s_national_football_team_2012.jpg,,,Conforme página do arquivo,CC BY-SA 2.0,,Crédito conforme página do arquivo; informar licença e alterações,APROVADA,SIM,,,,,,Licença individual verificada
IMG0004,selecao_brasileira,Football Women Podium Pan 2007,"Brazil (gold), the USA (silver) and Canada (bronze) make up the podium for Women's Football at the 2007 Pan American Games in Rio de Janeiro",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Football_Women_Podium_Pan_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Football_Women_Podium_Pan_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/Football_Women_Podium_Pan_2007.jpg/1920px-Football_Women_Podium_Pan_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Wilson Dias/ABr,CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,Wilson Dias/ABr | Agência Brasil ([1]) | CC BY 3.0 br,APROVADA_AUTO,SIM,2692,1744,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
IMG0005,selecao_brasileira,Brazil Women Soccer Team Gold Medal Pan 2007,Rio de Janeiro - Brazil women's national football team receiving the gold medal at the Pan-American Games 2007,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brazil_Women_Soccer_Team_Gold_Medal_Pan_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Brazil_Women_Soccer_Team_Gold_Medal_Pan_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/Brazil_Women_Soccer_Team_Gold_Medal_Pan_2007.jpg/1920px-Brazil_Women_Soccer_Team_Gold_Medal_Pan_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Wilson Dias/Abr,CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,Wilson Dias/Abr | Agência Brasil [1] | CC BY 3.0 br,APROVADA_AUTO,SIM,2732,1800,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
IMG0006,selecao_brasileira,Sweden women v Brazil June 2013,a_34_0025,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sweden_women_v_Brazil_June_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Sweden_women_v_Brazil_June_2013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/5/56/Sweden_women_v_Brazil_June_2013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Anders Henrikson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Anders Henrikson | a_34_0025 | CC BY 2.0,APROVADA_AUTO,SIM,800,557,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
IMG0007,selecao_brasileira,Brasilien-Frauen-WM-Platzierungen,Beste Platzierungen der brasilianischen Mannschaft der Frauen in den Austragungsländern der FIFA-Frauenfußballweltmeisterschaften,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brasilien-Frauen-WM-Platzierungen.PNG,https://upload.wikimedia.org/wikipedia/commons/b/b4/Brasilien-Frauen-WM-Platzierungen.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/b/b4/Brasilien-Frauen-WM-Platzierungen.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Dr. Reiner Düren aka RedPiranha,CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,Dr. Reiner Düren aka RedPiranha | Eigene Datei | CC BY-SA 3.0 de,APROVADA_AUTO,SIM,1425,625,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
IMG0008,selecao_brasileira,German football team 2016 Olympics women,São Paulo - Seleções femininas do Zimbábue e da Alemanha se enfrentam na Arena Corinthians (Rovena Rosa/Agência Brasil),Wikimedia Commons,https://commons.wikimedia.org/wiki/File:German_football_team_2016_Olympics_women.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/German_football_team_2016_Olympics_women.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/German_football_team_2016_Olympics_women.jpg/1920px-German_football_team_2016_Olympics_women.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Rovena Rosa/Agência Brasil,CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,Rovena Rosa/Agência Brasil | Futebol feminino de Zimbábue e Alemanha se enfrentam em SP & http://agenciabrasil.ebc.com.br/rio-2016/foto/2016-08/futebol-feminino-de-zimbabue-e-alemanha-se-enfrentam-em-sp | CC BY 3.0 br,APROVADA_AUTO,SIM,4469,3249,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
IMG0009,selecao_brasileira,Ricardo Pombo Sales,Ricardo Pombo Sales,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ricardo_Pombo_Sales.png,https://upload.wikimedia.org/wikipedia/commons/d/d2/Ricardo_Pombo_Sales.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/Ricardo_Pombo_Sales.png/1920px-Ricardo_Pombo_Sales.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ricardo Pombo Sales,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Ricardo Pombo Sales | Own work | CC BY-SA 4.0,APROVADA_AUTO,SIM,2160,3840,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
IMG0010,selecao_brasileira,Selecao bresilienne a l entrainement,Selecao bresilienne a l entrainement reçu au SPFC par Dani Alves,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Selecao_bresilienne_a_l_entrainement.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Selecao_bresilienne_a_l_entrainement.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1d/Selecao_bresilienne_a_l_entrainement.jpg/1920px-Selecao_bresilienne_a_l_entrainement.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Frenchyfoot,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Frenchyfoot | Own work | CC BY-SA 4.0,APROVADA_AUTO,SIM,5184,3456,,,0,Licença aberta conferida automaticamente via extmetadata do Wikimedia Commons; revalidar se a página de origem mudar.
